Np = 10
-1.273404 -0.285643 -0.987761
-1.541900 -0.207149 -1.334751
-0.998355 -0.511952 -0.486403
-0.772357 -0.671364 -0.100993
-1.624912 -0.876131 -0.748781
-0.811679 -0.151972 -0.659707
-1.140745 -0.098782 -1.041963
-0.707021 -0.265204 -0.441817
-0.619442 -0.504539 -0.114903
-1.243814 -0.682440 -0.561374
-0.601370 -0.226127 -0.375243
-0.281240 -0.388851 0.107611
-0.620633 -0.301330 -0.319303
0.549270 -0.558386 1.107656
-0.397416 -0.031103 -0.366313
-1.087523 0.075741 -1.163264
-0.993589 -1.273520 0.279931
-0.796983 -0.583592 -0.213391
1.485829 0.260489 1.225340
0.684908 0.687491 -0.002583
0.502601 0.078231 0.424370
1.413541 -0.058727 1.472268
1.391696 0.117663 1.274033
-0.851596 0.020416 -0.872012
0.625728 0.018815 0.606913
-0.352336 0.120102 -0.472438
-0.752101 -0.313437 -0.438664
1.021720 0.446385 0.575335
-0.371004 0.347841 -0.718845
-1.251758 -0.919668 -0.332090
-1.095069 -0.836240 -0.258829
1.137698 -0.092327 1.230025
0.517694 1.199519 -0.681825
-0.483009 0.933006 -1.416015
0.093105 0.428628 -0.335523
-0.195846 -0.328287 0.132441
0.748656 1.194634 -0.445978
-1.363565 0.417749 -1.781314
-0.985248 -0.855421 -0.129827
0.604876 -0.391386 0.996262
0.154073 0.654445 -0.500372
-0.263168 -0.197389 -0.065779
0.119121 -0.880350 0.999471
1.312657 -0.336719 1.649376
-1.439427 0.006550 -1.445976
-0.628180 -0.220787 -0.407393
1.666944 0.057847 1.609097
1.023706 1.436640 -0.412934
-0.667501 -0.172245 -0.495256
1.062828 0.124633 0.938195
0.420781 0.535536 -0.114755
-0.677431 -0.135085 -0.542346
-0.048689 -0.057519 0.008830
0.122298 0.394965 -0.272667
0.720655 -0.082477 0.803132
1.795433 0.237647 1.557786
1.795433 0.935123 0.860310
-0.189888 0.260581 -0.450469
-0.536033 0.031878 -0.567911
0.011087 0.020732 -0.009645
-0.069939 -0.225060 0.155121
0.071459 0.026690 0.044769
0.361403 0.085066 0.276337
1.107710 0.005758 1.101952
1.795433 0.673814 1.121619
1.795433 1.523810 0.271623
1.172451 0.549220 0.623231
1.795433 1.247243 0.548190
1.120023 1.095085 0.024938
-0.426212 -0.048603 -0.377609
0.119319 -0.134102 0.253421
1.795433 1.866095 -0.070662
1.795433 1.719607 0.075826
0.463876 0.276175 0.187701
0.578265 0.664118 -0.085853
1.795433 0.893591 0.901842
0.910310 0.940210 -0.029900
-0.097344 0.048498 -0.145842
0.017442 -0.241308 0.258750
-0.631556 -0.059889 -0.571667
-0.297128 0.064628 -0.361756
-0.201009 -0.232189 0.031180
0.474203 -0.149743 0.623946
0.487906 -0.128587 0.616493
1.419499 0.713112 0.706387
1.284457 0.400317 0.884140
1.795433 0.187730 1.607703
0.941886 0.602124 0.339762
-0.392054 0.433864 -0.825918
-0.146198 0.239660 -0.385858
0.374112 -0.074960 0.449072
0.832859 -0.135506 0.968365
1.084078 0.262012 0.822066
-0.156525 0.351174 -0.507699
-0.072123 -0.147231 0.075108
1.586118 -0.030102 1.616220
1.010003 0.834892 0.175111
0.178698 0.038246 0.140452
1.551165 -0.138937 1.690102
-0.545169 0.272202 -0.817371
-0.331682 -0.210218 -0.121464
0.518091 -0.395701 0.913792
0.943078 0.343053 0.600025
0.208884 0.658202 -0.449318
0.887671 0.054602 0.833069
1.795433 0.463345 1.332088
1.633780 0.836446 0.797334
1.287237 1.062134 0.225103
0.877344 1.666679 -0.789335
-0.805125 0.715312 -1.520437
-0.722114 -0.177320 -0.544794
0.525837 0.002532 0.523305
0.118525 0.153888 -0.035363
0.224573 0.110910 0.113663
0.086353 0.241714 -0.155361
1.795433 0.891145 0.904288
1.795433 0.874629 0.920804
-0.907003 0.847175 -1.754178
-0.618052 0.517174 -1.135226
-0.718936 0.032952 -0.751888
-0.167447 0.910108 -1.077555
1.033040 0.742859 0.290181
0.928183 0.050803 0.877380
0.536163 0.055367 0.480796
-0.675445 1.378418 -2.053863
-0.582107 0.334069 -0.916176
-0.150765 0.724298 -0.875063
-0.206371 0.860068 -1.066439
0.118326 0.650243 -0.531917
0.872180 0.238240 0.633940
1.795433 0.268054 1.527379
1.007421 0.297496 0.709925
-0.541197 0.088632 -0.629829
0.567938 -0.035734 0.603672
0.354650 -0.137052 0.491702
0.233907 0.247949 -0.014042
1.795433 1.127209 0.668224
1.795433 1.433648 0.361785
1.635170 0.799775 0.835395
-0.024858 1.371182 -1.396040
-0.032206 0.827040 -0.859246
-0.448852 0.413458 -0.862310
-0.371004 0.048484 -0.419488
-0.304078 -0.151260 -0.152818
1.123002 0.414336 0.708666
1.795433 0.920189 0.875244
1.414336 0.540502 0.873834
1.003450 1.055608 -0.052158
1.074347 1.067619 0.006728
-0.226826 0.537164 -0.763990
-0.703645 -1.171126 0.467481
1.277506 0.456180 0.821326
-1.186620 0.271843 -1.458463
-0.828559 -0.178409 -0.650150
-0.900846 -0.392376 -0.508470
-0.262771 0.693117 -0.955888
1.567450 0.340411 1.227039
0.710725 0.207925 0.502800
-0.948111 0.663193 -1.611304
-0.874036 0.433958 -1.307994
-0.521338 0.324408 -0.845746
-0.391657 0.724278 -1.115935
0.341146 0.070165 0.270981
-0.683388 0.013390 -0.696778
-0.586078 -0.219436 -0.366642
-0.881980 -0.482705 -0.399275
-0.607924 -0.143586 -0.464338
0.150895 0.031835 0.119060
-0.631159 2.340064 -2.971223
-1.078983 2.110928 -3.189911
-0.263764 0.055318 -0.319082
0.012080 0.048695 -0.036615
-1.005306 0.019851 -1.025157
-0.931032 0.001029 -0.932061
0.464074 0.099810 0.364264
-0.021284 0.498457 -0.519741
0.004136 0.710687 -0.706551
-0.626194 0.247277 -0.873471
-0.628776 -0.080683 -0.548093
-0.267140 0.046139 -0.313279
1.261619 0.276860 0.984759
0.928978 0.431177 0.497801
-0.511011 1.153515 -1.664526
-1.057734 0.210270 -1.268004
-0.737604 0.248015 -0.985619
0.170556 0.121422 0.049134
0.830278 0.924265 -0.093987
mean vector ..
-0.044982 0.675942 2.647771 0.691404 -1.382162 -0.117801 0.355348
1.984268 2.304565 -0.461003 -0.038385 -1.468666 -0.022119 1.559087
-2.056382 -0.728696 -0.378712 -0.580590 -1.132121 -0.673942 -1.534494
-0.499141 1.677430 -1.818442 -1.850284 -1.542951 -0.682536 0.248783
2.093264 -1.096144 -1.068538 -0.644338 -1.675088 -0.451879 1.727898
1.502805 -0.016120 -0.587352 0.007908 -1.358485 0.485130 1.044387
-0.366663 -0.428146 -0.901006 -0.402666 -1.427825 -1.092737 -0.084272
0.595810 -1.003180 -0.301799 0.151947 -0.105266 -0.064881 2.080261
0.923006 -0.095282 -1.539690 1.079702 -1.763550 -0.844668 1.024782
2.348932 0.758842 0.302780 -1.987394 -0.219863 0.652514 -1.008156
sigma and ck
1.767966 3.958471
0.785005 -1.779948
1.821276 -2.173722
1.293831 5.341023
0.410946 0.963881
0.301498 -1.043600
0.192851 1.627283
0.966327 3.284918
0.138798 -0.648901
1.308757 -5.463982
Mean of absolute error =     0.6541
Simulation Results of a Network with GKFs
adaptation of sigmas, mean vectors and output weights

time delay = 13

input dimension = 7

forward prediction step = 1

number of total time series data = 352

number of training data = 191

number of test data = 82

initial error margin = 0.500000

upper-bound of standard deviation = 1.000000

number of epochs for recruiting GKFs = 10

number of epochs for parameter estimation = 4

number of potential functions = 10

rms error for trainig-samples = 0.759405

standard deviation of trainig-samples = 0.974172

normlized rms error for trainig-samples = 77.953926 percent

rms error for test-samples = 0.976576

standard deviation of test-samples = 0.897574

normlized rms error for test-samples = 108.801743 percent
